Metabolite_name,Theoretical mass,DB_reference_no
metabolite_1,138.238669,426
metabolite_2,237.519467,894
metabolite_3,710.8769847,1685
metabolite_4,218.1990538,247
metabolite_5,358.5428198,1435
metabolite_6,753.9932878,1689
metabolite_7,1016.823707,1179
metabolite_8,389.5313862,1324
metabolite_9,165.2148155,93
metabolite_10,240.5229071,831
metabolite_11,1012.273757,1327
metabolite_12,744.8151269,597
metabolite_13,219.182165,1593
metabolite_14,183.2262573,273
metabolite_15,283.5293815,1824
metabolite_16,792.0415014,1236
metabolite_17,773.8318182,787
metabolite_18,301.2720341,1792
metabolite_19,152.2205761,252
metabolite_20,894.0752355,126
metabolite_21,330.2706058,486
metabolite_22,238.5064831,277
metabolite_23,236.2167341,862
metabolite_24,753.8975467,543
metabolite_25,892.7227997,346
metabolite_26,141.2385659,221
metabolite_27,135.2022027,749
metabolite_28,476.2841445,75
metabolite_29,800.8265629,1238
metabolite_30,728.8887317,380
metabolite_31,789.0822546,71
metabolite_32,217.2008745,329
metabolite_33,741.9017355,1754
metabolite_34,146.2188266,1744
metabolite_35,152.2549497,1121
metabolite_36,267.2445707,1823
metabolite_37,154.2349762,1696
metabolite_38,712.9027424,1546
metabolite_39,997.7665378,1884
