,Y_variable_1,Y_variable_2,Y_variable_3,Y_variable_4,Y_variable_5,Y_variable_6,Y_variable_7,Y_variable_8,Y_variable_9,Y_variable_10
X11_sample_90148,0,0,23.96213302,1,1.833529299,20.90177303,0,27.46063102,678.0614417,38.55129602
X12_sample_20692,0,0,37.82513202,242.26463,115.791097,0,826.3929358,0,0,23.45711366
X13_sample_105762,0,5.962784283,9.876037418,16.7116188,9.846737943,35.99788363,89.35708712,2.348542561,163.8823482,19.39311173
X14_sample_80259,0,0,0,1,48.09632492,51.00296613,0,0,646.6617408,64.11584464
X16_sample_75940,0,0,17.46081229,1,0,0,0,30.8977221,268.4733803,56.25629831
X17_sample_72889,0,0,6.722819238,10.34978189,36.22646579,0,15.34713902,17.77537695,177.7622981,0
X18_sample_83233,0,9.758981791,1.170423723,3.65702408,3.950959362,1.193204966,5.092270253,3.914204759,6.31365823,3.415483073
X19_sample_53839,0,0,0,25.39681135,30.93479952,0,0,0,80.43475638,18.77320343
X21_sample_2492,0,0,0,3.528338024,9.166057544,3.878574055,0,5.359561251,27.76423854,4.421145334
X22_sample_61966,0,15.28789328,1.350316153,3.569448736,0,0,85.53581537,0,179.5163975,11.91574936
X23_sample_84401,0,12.1193386,6.391486873,4.394893028,13.48680741,7.556874837,36.73562986,0,52.15997265,0
X24_sample_16265,0,63.36165061,0,8.926288031,31.84682196,2.660282322,0,18.03738524,22.64222018,26.19473398
X26_sample_65762,0,0,1.313063676,6.46027139,1,0,33.31409112,7.985526493,0,10.08238907
X27_sample_69316,0,0,1.324784631,2.829096664,0,0,0,4.060263597,49.65423668,5.420910914
X28_sample_88848,0,124.0028037,39.37789663,21.6477819,59.61406639,0,0,30.39318998,0,19.18170472
X29_sample_25450,0,0,2.350690772,2.862781169,0,6.791393334,40.36234079,2.591338349,48.38562045,1.036789031
X31_sample_63664,0,19.02132438,1.93182375,15.32431259,0,0,51.78582137,10.70951673,0,12.6312897
X32_sample_65099,0,0,6.636692278,19.14398773,30.72592802,10.64107284,0,0,122.2319758,13.16695753
X33_sample_22679,0,44.64590697,25.04023481,34.57264357,1,0,201.5979257,0,0,29.61464301
X34_sample_85614,0,0,2.626779235,3.51812497,6.113868069,2.764276136,0,2.277487425,58.98201223,3.56030739
