"sampleNames","Y_variable_1","Y_variable_2","Y_variable_3","Y_variable_4","Y_variable_5","Y_variable_6","Y_variable_7","Y_variable_8","Y_variable_9","Y_variable_10"
"sample_90148_11",0,0,23.96213302,1,1.833529299,20.90177303,0,27.46063102,678.0614417,38.55129602
"sample_20692_12",0,0,37.82513202,242.26463,115.791097,0,826.3929358,0,0,23.45711366
"sample_105762_13",0,5.962784283,9.876037418,16.7116188,9.846737943,35.99788363,89.35708712,2.348542561,163.8823482,19.39311173
"sample_80259_14",0,0,0,1,48.09632492,51.00296613,0,0,646.6617408,64.11584464
"sample_75940_16",0,0,17.46081229,1,0,0,0,30.8977221,268.4733803,56.25629831
"sample_72889_17",0,0,6.722819238,10.34978189,36.22646579,0,15.34713902,17.77537695,177.7622981,0
"sample_83233_18",0,9.758981791,1.170423723,3.65702408,3.950959362,1.193204966,5.092270253,3.914204759,6.31365823,3.415483073
"sample_53839_19",0,0,0,25.39681135,30.93479952,0,0,0,80.43475638,18.77320343
"sample_2492_21",0,0,0,3.528338024,9.166057544,3.878574055,0,5.359561251,27.76423854,4.421145334
"sample_61966_22",0,15.28789328,1.350316153,3.569448736,0,0,85.53581537,0,179.5163975,11.91574936
"sample_84401_23",0,12.1193386,6.391486873,4.394893028,13.48680741,7.556874837,36.73562986,0,52.15997265,0
"sample_16265_24",0,63.36165061,0,8.926288031,31.84682196,2.660282322,0,18.03738524,22.64222018,26.19473398
"sample_65762_26",0,0,1.313063676,6.46027139,1,0,33.31409112,7.985526493,0,10.08238907
"sample_69316_27",0,0,1.324784631,2.829096664,0,0,0,4.060263597,49.65423668,5.420910914
"sample_88848_28",0,124.0028037,39.37789663,21.6477819,59.61406639,0,0,30.39318998,0,19.18170472
"sample_25450_29",0,0,2.350690772,2.862781169,0,6.791393334,40.36234079,2.591338349,48.38562045,1.036789031
"sample_63664_31",0,19.02132438,1.93182375,15.32431259,0,0,51.78582137,10.70951673,0,12.6312897
"sample_65099_32",0,0,6.636692278,19.14398773,30.72592802,10.64107284,0,0,122.2319758,13.16695753
"sample_22679_33",0,44.64590697,25.04023481,34.57264357,1,0,201.5979257,0,0,29.61464301
"sample_85614_34",0,0,2.626779235,3.51812497,6.113868069,2.764276136,0,2.277487425,58.98201223,3.56030739
"sample_6115_36",63.55967316,47.26150252,12.83888594,16.80814538,56.51670236,66.75974089,0,0,0,60.21876975
"sample_31433_37",0,0,1.868317141,16.54240408,0,0,2.237706521,0,14.1398539,9.865281141
"sample_63088_38",0,116.5875566,20.86535214,61.26661518,32.12292901,0,246.1478771,17.94503042,840.288841,106.3328451
"sample_44970_39",0,0,5.539666449,10.68630103,0,0,0,0,172.420414,4.199557635
"sample_68093_41",0,0,1.660233132,4.947191014,4.824320728,12.64776187,0,9.434232954,109.297929,31.11144
"sample_46969_42",11.61228861,10.00054539,2.185444567,2.961604504,0,3.828523913,11.10385068,0,45.044872,12.28578255
"sample_81427_43",0,13.80313637,1.986366771,1.308250658,1.19013901,1.075744517,25.37884224,4.034607566,0,6.24447751
"sample_41979_44",0,272.3852488,31.75112847,110.807992,182.8214314,66.98874203,0,0,22.12316307,77.73587391
"sample_35776_46",4.385223203,0,1.365159998,3.856504425,0,16.06176494,0,8.498078477,78.35162236,7.717066472
"sample_74037_47",0,20.32415664,1.301321921,4.841931068,6.849973153,6.504373399,36.27140035,7.85070442,132.8183134,10.04397105
"sample_24059_48",40.94244476,0,16.55560243,22.09547828,52.51523461,0,0,25.98458177,62.18455765,47.75435289
"sample_35644_49",1,0,325.3836291,90.07015629,524.4523582,0,0,309.3885741,1743.689484,418.3843409
"sample_66742_51",0,0,12.02037625,4.928291903,13.22671971,23.50963526,0,6.746166061,546.045393,37.58546786
"sample_26783_52",0,0,1.700576439,2.72740773,4.809670596,0,0,0,9.048120064,8.602601636
"sample_59605_53",0,0,1.703921158,4.08551727,2.964559109,2.636322902,0,3.110621764,133.4231855,6.706189822
"sample_26363_54",0,0,66.57108906,12.55022444,172.7697061,38.19107259,460.5841947,0,0,254.0075011
"sample_105320_56",0,1.448871272,1.000573654,1.354465062,8.696386267,9.20194301,0,4.27331047,0,9.562705204
"sample_80224_57",0,0,91.64237314,26.92788327,172.4170754,58.59352726,186.0161333,75.66358472,986.7709184,81.60810611
